event_id,event_name,year,location,gender,pdf_file,has_time_data
1,World Women's Curling Championship 2026,2026,"Calgary, AB, Canada",w,WWCC2026_ResultsBook.pdf,True
2,"Milano Cortina 2026 Paralympic Winter Games, Curling",2026,"Cortina, Italy",,PWG2026_ResultsBook.pdf,True
3,World Junior Curling Championships 2026,2026,"Taarnby (Copenhagen), Denmark",m,WJCC2026_ResultsBook_Men.pdf,False
4,World Junior Curling Championships 2026,2026,"Taarnby (Copenhagen), Denmark",w,WJCC2026_ResultsBook_Women.pdf,False
5,"Milano Cortina 2026 Olympic Winter Games, Curling",2026,"Cortina, Italy",,OWG2026_ResultsBook.pdf,True
6,World Mixed Doubles Qualification Event 2025,2025,"Dumfries, Scotland",mxd,WMDQE2025_ResultsBook.pdf,False
7,World Junior-B Curling Championships 2025,2025,"Lohja, Finland",m,WJBCC2025_ResultsBook_Men.pdf,False
8,World Junior-B Curling Championships 2025,2025,"Lohja, Finland",w,WJBCC2025_ResultsBook_Women.pdf?v=2,False
9,Olympic Qualification Event 2025,2025,"Kelowna, BC, Canada",m,OQE2025_ResultsBook_Men.pdf,True
10,Olympic Qualification Event 2025,2025,"Kelowna, BC, Canada",w,OQE2025_ResultsBook_Women.pdf,True
11,Olympic Qualification Event 2025,2025,"Kelowna, BC, Canada",mxd,OQE2025_ResultsBook_MixedDoubles.pdf,True
12,European Curling Championships 2025 A-Division,2025,"Lohja, Finland",m,ECC2025_ResultsBook_Men_A-Division.pdf,True
13,European Curling Championships 2025 A-Division,2025,"Lohja, Finland",w,ECC2025_ResultsBook_Women_A-Division.pdf,True
14,European Curling Championships 2025 B-Division,2025,"Lahti, Finland",m,ECC2025_ResultsBook_Men_B-Division.pdf?V=2,False
15,European Curling Championships 2025 B-Division,2025,"Lahti, Finland",w,ECC2025_ResultsBook_Women_B-Division.pdf,False
16,Pan Continental Curling Championships 2025 A-Division,2025,"Virginia, MN ,USA",m,PCCC2025_ResultsBook_Men_A-Division.pdf,True
17,Pan Continental Curling Championships 2025 A-Division,2025,"Virginia, MN ,USA",w,PCCC2025_ResultsBook_Women_A-Division.pdf,True
18,Pan Continental Curling Championships 2025 B-Division,2025,"Eveleth, MN ,USA",m,PCCC2025_ResultsBook_Men_B-Division.pdf,False
19,Pan Continental Curling Championships 2025 B-Division,2025,"Eveleth, MN ,USA",w,PCCC2025_ResultsBook_Women_B-Division.pdf,False
20,Pre-Olympic Qualification Event 2025,2025,"Aberdeen, Scotland",m,PRE-OQE2025_ResultsBook_Men.pdf,False
21,Pre-Olympic Qualification Event 2025,2025,"Aberdeen, Scotland",w,PRE-OQE2025_ResultsBook_Women.pdf,False
22,World Junior Mixed Doubles Curling Championship 2025,2025,"Edmonton, AB, Canada",mxd,WJMDCC2025_ResultsBook.pdf,False
23,World Senior Curling Championships 2025,2025,"Fredericton, NB, Canada",m,WSCC2025_ResultsBook_Men.pdf,False
24,World Senior Curling Championships 2025,2025,"Fredericton, NB, Canada",w,WSCC2025_ResultsBook_Women.pdf,False
25,World Mixed Doubles Curling Championship 2025,2025,"Fredericton, NB, Canada",mxd,WMDCC2025_ResultsBook.pdf,True
26,European Curling Championships 2025 C-Division,2025,"Östersund, Sweden",m,ECCC2025_ResultsBook_Men.pdf,False
27,European Curling Championships 2025 C-Division,2025,"Östersund, Sweden",w,ECCC2025_ResultsBook_Women.pdf,False
28,World Junior Curling Championships 2025,2025,"Cortina d'Ampezzo, Italy",m,WJCC2025_ResultsBook_Men.pdf,True
29,World Junior Curling Championships 2025,2025,"Cortina d'Ampezzo, Italy",w,WJCC2025_ResultsBook_Women.pdf,True
30,World Men's Curling Championship 2025,2025,"Moose Jaw, SK, Canada",m,WMCC2025_ResultsBook.pdf,True
31,World Women's Curling Championship 2025,2025,"Uijeongbu, Korea",w,WWCC2025_ResultsBook.pdf,True
32,World Wheelchair Mixed Doubles Championship 2025,2025,"Stevenston, Scotland",mxd,WWhMDCC2025_ResultsBook.pdf,False
33,World Wheelchair Championship 2025,2025,"Stevenston, Scotland",,WWhCC2025_ResultsBook.pdf,False
34,Asian Winter Games 2025,2025,"Harbin, China",,AWG2025_CUR_ResultsBook.pdf,True
35,FISU World University Games 2025,2025,"Turin, Italy",,WUG2025_CUR_ResultsBook.pdf,False
36,World Junior-B Curling Championships 2024,2024,"Lohja, Finland",m,WJBCC2024_ResultsBook_Men.pdf,False
37,World Junior-B Curling Championships 2024,2024,"Lohja, Finland",w,WJBCC2024_ResultsBook_Women.pdf,False
38,World Mixed Doubles Qualification Event 2024,2024,"Dumfries, Scotland",mxd,WMDQE2024_ResultsBook.pdf,False
39,European Curling Championships 2024 A-Division,2024,"Lohja, Finland",m,ECC2024_ResultsBook_Men_A-Division.pdf,True
40,European Curling Championships 2024 A-Division,2024,"Lohja, Finland",w,ECC2024_ResultsBook_Women_A-Division.pdf,True
