player_id,event_id,team_code,player_name
1,1,SUI,WITSCHONKE S
2,1,SWE,SCHARBACK S
3,1,SUI,HOWALD C
4,1,SWE,KNOCHENHAUER A
5,1,SUI,TIRINZONI S
6,1,SWE,McMANUS S
7,1,SUI,PAETZ A
8,1,SWE,HASSELBORG A
9,1,CAN,WILKES S
10,1,USA,ANDERSON-HEIDE T
11,1,CAN,MISKEW E
12,1,USA,PETERSON TS
13,1,CAN,FLEURY T
14,1,USA,THIESSE C
15,1,CAN,HOMAN R
16,1,USA,PETERSON T
17,1,KOR,SEOL Yee
18,1,KOR,KIM S
19,1,KOR,KIM M
20,1,KOR,GIM E
21,1,JPN,OHMIYA A
22,1,CHN,JIANG J
23,1,JPN,KOTANI Y
24,1,CHN,DONG Z
25,1,JPN,ONODERA K
26,1,CHN,HAN Y
27,1,JPN,YOSHIMURA S
28,1,CHN,WANG R
29,1,ITA,MARIANI R
30,1,GBR,JACKSON S
31,1,ITA,ZARDINI LACEDELLI
32,1,GBR,SINCLAIR S
33,1,ITA,MATHIS E
34,1,GBR,DODDS J
35,1,ITA,CONSTANTINI S
36,1,GBR,MORRISON R
37,1,DEN,DUPONT D
38,1,DEN,HOLTERMANN J
39,1,DEN,HALSE M
40,1,DEN,DUPONT M
41,1,SWE,HELDIN J
42,1,JPN,KOBAYASHI M
43,1,ITA,LO DESERTO M
44,1,KOR,SEOL Yej
45,1,GBR,McMILLAN H
46,1,CAN,HEBERT B
47,1,GBR,LAMMIE B
48,1,CAN,GALLANT B
49,1,GBR,HARDIE G
50,1,CAN,KENNEDY M
51,1,GBR,MOUAT B
52,1,CAN,JACOBS B
53,1,NOR,NEPSTAD G
54,1,SUI,LACHAT-COUCHEPIN P
55,1,NOR,RAMSFJELL B
56,1,SUI,MICHEL S
57,1,NOR,SESAKER M
58,1,SUI,SCHWALLER Y
59,1,NOR,RAMSFJELL M
60,1,SUI,SCHWARZ-van BERKEL
61,1,SWE,SUNDGREN C
62,1,CZE,KLIPA L
63,1,SWE,WRANAA R
64,1,CZE,JURIK M
65,1,SWE,ERIKSSON O
66,1,CZE,CERNOVSKY M
67,1,SWE,EDIN N
68,1,CZE,KLIMA L
69,1,SWE,OLOFSSON S
70,1,ITA,GIOVANELLA M
71,1,ITA,ARMAN S
72,1,ITA,MOSANER A
73,1,ITA,RETORNAZ J
74,1,GER,SCHEUERL J
75,1,CHN,XU J
76,1,GER,MESSENZEHL F
77,1,CHN,LI Z
78,1,GER,KAPP B
79,1,CHN,FEI X
80,1,GER,MUSKATEWITZ M
81,1,CHN,XU X
82,1,CAN,TARDI T
83,1,USA,OLDENBURG A
84,1,USA,RICHARDSON B
85,1,USA,VIOLETTE L
86,1,USA,CASPER D
87,1,SUI,SCHWALLER K
88,1,GER,TREVISIOL M
89,1,CZE,BOHAC R
90,1,USA,RUOHONEN R
