event_id,match_id,end_number,shot_number,team_code,player_id,player_name,shot_type,turn,accuracy,house_orientation,team1_stones_in_play,team2_stones_in_play,team1_stone1_x,team1_stone1_y,team1_stone1_dist,team1_stone1_angle,team1_stone2_x,team1_stone2_y,team1_stone2_dist,team1_stone2_angle,team1_stone3_x,team1_stone3_y,team1_stone3_dist,team1_stone3_angle,team1_stone4_x,team1_stone4_y,team1_stone4_dist,team1_stone4_angle,team1_stone5_x,team1_stone5_y,team1_stone5_dist,team1_stone5_angle,team1_stone6_x,team1_stone6_y,team1_stone6_dist,team1_stone6_angle,team1_stone7_x,team1_stone7_y,team1_stone7_dist,team1_stone7_angle,team1_stone8_x,team1_stone8_y,team1_stone8_dist,team1_stone8_angle,team2_stone1_x,team2_stone1_y,team2_stone1_dist,team2_stone1_angle,team2_stone2_x,team2_stone2_y,team2_stone2_dist,team2_stone2_angle,team2_stone3_x,team2_stone3_y,team2_stone3_dist,team2_stone3_angle,team2_stone4_x,team2_stone4_y,team2_stone4_dist,team2_stone4_angle,team2_stone5_x,team2_stone5_y,team2_stone5_dist,team2_stone5_angle,team2_stone6_x,team2_stone6_y,team2_stone6_dist,team2_stone6_angle,team2_stone7_x,team2_stone7_y,team2_stone7_dist,team2_stone7_angle,team2_stone8_x,team2_stone8_y,team2_stone8_dist,team2_stone8_angle
1,1,1,1,CHN,1,LI N,Draw,Clockwise,75,bottom,1,0,0.288,-0.739,0.794,-68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,2,CAN,2,JOSEPH C,Take-out,Counter-clockwise,50,bottom,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,3,CHN,1,LI N,Draw,Clockwise,100,bottom,1,0,0.113,0.513,0.526,77.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,4,CAN,2,JOSEPH C,Take-out,Counter-clockwise,50,bottom,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,5,CHN,3,CHEN J,Draw,Clockwise,100,bottom,1,0,-0.139,0.176,0.225,128.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,6,CAN,4,FORREST I,Take-out,Clockwise,100,bottom,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.384,0.098,0.396,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,7,CHN,3,CHEN J,Take-out,Clockwise,0,bottom,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.774,-0.848,1.148,-132.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,8,CAN,4,FORREST I,Draw,Clockwise,0,bottom,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,-0.849,1.146,-132.2,0.616,1.37,1.502,65.8,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,9,CHN,5,ZHANG M,Take-out,Counter-clockwise,100,bottom,1,1,-0.347,-0.867,0.934,-111.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615,1.36,1.493,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,10,CAN,6,THURSTON J,Take-out,Clockwise,50,bottom,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,1.372,1.505,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,11,CHN,5,ZHANG M,Hit and Roll,Clockwise,100,bottom,1,0,-0.462,0.961,1.066,115.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,12,CAN,6,THURSTON J,Take-out,Clockwise,50,bottom,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,13,CHN,7,WANG H,Draw,Clockwise,100,bottom,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,14,CAN,8,IDESON M,Take-out,Clockwise,100,bottom,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.042,-1.093,1.093,-92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,15,CHN,7,WANG H,Take-out,Clockwise,50,bottom,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,16,CAN,8,IDESON M,Through,Not considered,,bottom,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,1,CHN,1,LI N,Draw,Clockwise,100,top,1,0,0.087,0.083,0.12,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,CAN,2,JOSEPH C,Take-out,Clockwise,100,top,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813,-0.141,0.825,-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,3,CHN,1,LI N,Take-out,Clockwise,100,top,1,0,-0.186,-0.552,0.582,-108.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,4,CAN,2,JOSEPH C,Front,Counter-clockwise,0,top,1,1,-0.187,-0.552,0.583,-108.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.905,0.855,1.245,136.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,5,CHN,3,CHEN J,Take-out,Counter-clockwise,50,top,2,0,-0.188,-0.552,0.583,-108.8,-1.367,0.828,1.598,148.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,6,CAN,4,FORREST I,Front,Counter-clockwise,100,top,2,1,-0.186,-0.552,0.583,-108.6,-1.365,0.829,1.597,148.7,,,,,,,,,,,,,,,,,,,,,,,,,-0.845,1.389,1.626,121.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,7,CHN,3,CHEN J,Draw,Counter-clockwise,0,top,3,1,-0.188,-0.554,0.585,-108.7,-0.665,1.298,1.458,117.1,-1.367,0.83,1.599,148.7,,,,,,,,,,,,,,,,,,,,,-0.846,1.384,1.622,121.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,8,CAN,4,FORREST I,Hit and Roll,Clockwise,75,top,2,2,-0.661,1.299,1.458,117.0,-1.366,0.831,1.598,148.7,,,,,,,,,,,,,,,,,,,,,,,,,-0.234,-0.379,0.445,-121.7,-0.845,1.386,1.624,121.4,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,9,CHN,5,ZHANG M,Hit and Roll,Counter-clockwise,75,top,3,1,-0.16,-0.216,0.269,-126.6,-0.665,1.298,1.458,117.1,-1.367,0.83,1.599,148.7,,,,,,,,,,,,,,,,,,,,,-0.846,1.384,1.622,121.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,10,CAN,6,THURSTON J,Hit and Roll,Clockwise,75,top,2,2,-0.661,1.299,1.458,117.0,-1.366,0.831,1.598,148.7,,,,,,,,,,,,,,,,,,,,,,,,,-0.151,-0.032,0.155,-168.1,-0.845,1.386,1.624,121.4,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,11,CHN,5,ZHANG M,Hit and Roll,Counter-clockwise,100,top,3,1,-0.822,-0.141,0.834,-170.3,-0.671,1.295,1.458,117.4,-1.371,0.827,1.602,148.9,,,,,,,,,,,,,,,,,,,,,-0.851,1.381,1.622,121.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,12,CAN,6,THURSTON J,Promotion Take-out,Clockwise,25,top,3,1,-0.818,-0.141,0.83,-170.2,-0.667,1.296,1.458,117.2,-1.371,0.828,1.601,148.9,,,,,,,,,,,,,,,,,,,,,-0.064,1.553,1.554,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,13,CHN,7,WANG H,Draw,Counter-clockwise,75,top,4,1,0.034,0.498,0.499,86.1,-0.821,-0.136,0.832,-170.6,-0.67,1.301,1.463,117.3,-1.371,0.825,1.6,149.0,,,,,,,,,,,,,,,,,-0.066,1.557,1.558,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,14,CAN,8,IDESON M,Promotion Take-out,Counter-clockwise,50,top,3,1,-0.818,-0.136,0.829,-170.5,-0.666,1.303,1.463,117.1,-1.37,0.826,1.6,148.9,,,,,,,,,,,,,,,,,,,,,-0.909,1.396,1.666,123.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,15,CHN,7,WANG H,Draw,Counter-clockwise,75,top,4,1,-0.469,-0.346,0.583,-143.6,-0.821,-0.136,0.832,-170.6,-0.67,1.301,1.463,117.3,-1.371,0.825,1.6,149.0,,,,,,,,,,,,,,,,,-0.913,1.394,1.666,123.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,16,CAN,8,IDESON M,Draw,Counter-clockwise,100,top,4,2,-0.472,-0.347,0.585,-143.7,-0.818,-0.136,0.829,-170.5,-0.666,1.303,1.463,117.1,-1.37,0.826,1.6,148.9,,,,,,,,,,,,,,,,,-0.107,-0.014,0.108,-172.3,-0.909,1.396,1.666,123.1,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,1,CAN,2,JOSEPH C,Front,Clockwise,100,bottom,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.055,2.625,2.626,91.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
