event_id,team_code,team_name,player1_name,player2_name,player3_name,player4_name,player5_name
1,CAN,Canada,DASH G,FORREST I,IDESON M,JOSEPH C,THURSTON J
1,CHN,China,CHEN J,LI N,WANG H,ZHANG M,ZHANG Q
1,EST,Estonia,,,,,
1,GBR,Great Britain,ASPEY K,McKENZIE A,NIBLOE H,PIMBLETT S,STEWART G
1,ITA,Italy,BICH F,MARCHESE E,MENARDI A,RONZANI M,
1,JPN,Japan,,,,,
1,KOR,Republic of Korea,BANG MJ,CHA J,LEE HC,NAM BK,YANG HT
1,LAT,Latvia,ASNINA E,BRIEDIS O,DJACENKO S,KILLIANE A,MEIJERE L
1,NOR,Norway,DJUPSKAAS I,SKOGSTAD GA,STORDAHL J,SVEBERG ML,SYVERSEN OF
1,SVK,Slovakia,DURCEK A,DURIS R,KUNKELOVA M,SANDL K,ZATKO P
1,SWE,Sweden,HOLM M,JOHANSSON S,PERSSON R,PETERSSON DAHL V,ULANDER K
1,USA,United States,O'NEILL S,ROSE D,THUMS M,URANCHIMEG O,VERDERBER K
