event_id,team_code,team_name,player1_name,player2_name,player3_name,player4_name,player5_name
1,AUT,Austria,BACKOFEN J,GENNER M,HOFER M,KARG J,REICHEL M
1,CZE,Czechia,BOHAC R,CERNOVSKY M,JURIK M,KLIMA L,KLIPA L
1,DEN,Denmark,JURLANDER BOEGE K,NOERGAARD M,QVIST A,SCHMIDT J,VILANDT J
1,GER,Germany,KAPP B,MESSENZEHL F,MUSKATEWITZ M,SCHEUERL J,
1,ITA,Italy,ARMAN S,GIOVANELLA M,MOSANER A,PIMPINI A,RETORNAZ J
1,NOR,Norway,NAESS W,NEPSTAD G,RAMSFJELL B,RAMSFJELL M,SESAKER M
1,POL,Poland,CIEMINSKI M,DOMIN K,GRZELKA M,LOBAZA B,STYCH K
1,SCO,Scotland,HARDIE G,LAMMIE B,MOUAT B,McMILLAN H,WADDELL K
1,SUI,Switzerland,LACHAT-COUCHEPIN P,MICHEL S,SCHWALLER K,SCHWALLER Y,SCHWARZ-VAN BERKEL
1,SWE,Sweden,EDIN N,ERIKSSON O,SUNDGREN C,WRANAA R,
2,CAN,Canada,GUSHUE B,HARNDEN E,HARNDEN R,NICHOLS M,WALKER G
2,CZE,Czech Republic,BOHAC R,CERNOVSKY M,JURIK M,KLIMA L,KLIPA L
2,GER,Germany,GREINDL D,HARSCH K,MUSKATEWITZ M,SUTOR M,TOTZEK S
2,ITA,Italy,ARMAN S,GIOVANELLA M,MOSANER A,RETORNAZ J,
2,JPN,Japan,KOIZUMI S,YAMAGUCHI T,YAMAMOTO T,YANAGISAWA R,
2,KOR,Korea,JEONG B,KIM M,KIM T,LEE J,
2,NOR,Norway,NEPSTAD G,RAMSFJELL B,RAMSFJELL M,SESAKER M,
2,NZL,New Zealand,DE BOER P,HOOD A,SARGON B,SMITH B,WALKER H
2,SCO,Scotland,HARDIE G,LAMMIE B,MOUAT B,McMILLAN H,WADDELL K
2,SUI,Switzerland,LACHAT P,MICHEL S,SCHWALLER Y,SCHWARZ B,
2,SWE,Sweden,EDIN N,ERIKSSON O,MAGNUSSON D,SUNDGREN C,WRANAA R
2,TUR,Türkiye,DEMIREL MH,KARAGOZ U,KAVAZ F,UCAN MZ,YUCE O
2,USA,United States,HAMILTON M,HUFMAN C,LANDSTEINER J,PLYS C,SHUSTER J
