tournament_name,year,location,gender,result_book_url,result_summary_url
World Mixed Doubles Qualification Event 2025,2025,"Dumfries, Scotland",mxd,https://curlit.com/PDF/WMDQE2025_ResultsBook.pdf,https://curlit.com/PDF/WMDQE2025_ResultsSummary.pdf
World Junior-B Curling Championships 2025,2025,"Lohja, Finland",m,https://curlit.com/PDF/WJBCC2025_ResultsBook_Men.pdf,https://curlit.com/PDF/WJBCC2025_ResultsSummary_Men.pdf
World Junior-B Curling Championships 2025,2025,"Lohja, Finland",w,https://curlit.com/PDF/WJBCC2025_ResultsBook_Women.pdf?v=2,https://curlit.com/PDF/WJBCC2025_ResultsSummary_Women.pdf?v=2
Olympic Qualification Event 2025,2025,"Kelowna, BC, Canada",m,https://curlit.com/PDF/OQE2025_ResultsBook_Men.pdf,https://curlit.com/PDF/OQE2025_ResultsSummary_Men.pdf
Olympic Qualification Event 2025,2025,"Kelowna, BC, Canada",w,https://curlit.com/PDF/OQE2025_ResultsBook_Women.pdf,https://curlit.com/PDF/OQE2025_ResultsSummary_Women.pdf
Olympic Qualification Event 2025,2025,"Kelowna, BC, Canada",mxd,https://curlit.com/PDF/OQE2025_ResultsBook_MixedDoubles.pdf,https://curlit.com/PDF/OQE2025_ResultsSummary_MixedDoubles.pdf
European Curling Championships 2025 A-Division,2025,"Lohja, Finland",m,https://curlit.com/PDF/ECC2025_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/ECC2025_ResultsSummary_Men_A-Division.pdf
European Curling Championships 2025 A-Division,2025,"Lohja, Finland",w,https://curlit.com/PDF/ECC2025_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/ECC2025_ResultsSummary_Women_A-Division.pdf
European Curling Championships 2025 B-Division,2025,"Lahti, Finland",m,https://curlit.com/PDF/ECC2025_ResultsBook_Men_B-Division.pdf?V=2,https://curlit.com/PDF/ECC2025_ResultsSummary_Men_B-Division.pdf?V=2
European Curling Championships 2025 B-Division,2025,"Lahti, Finland",w,https://curlit.com/PDF/ECC2025_ResultsBook_Women_B-Division.pdf,https://curlit.com/PDF/ECC2025_ResultsSummary_Women_B-Division.pdf
Pan Continental Curling Championships 2025 A-Division,2025,"Virginia, MN ,USA",m,https://curlit.com/PDF/PCCC2025_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/PCCC2025_ResultsSummary_Men_A-Division.pdf
Pan Continental Curling Championships 2025 A-Division,2025,"Virginia, MN ,USA",w,https://curlit.com/PDF/PCCC2025_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/PCCC2025_ResultsSummary_Women_A-Division.pdf
Pan Continental Curling Championships 2025 B-Division,2025,"Eveleth, MN ,USA",m,https://curlit.com/PDF/PCCC2025_ResultsBook_Men_B-Division.pdf,https://curlit.com/PDF/PCCC2025_ResultsSummary_Men_B-Division.pdf
Pan Continental Curling Championships 2025 B-Division,2025,"Eveleth, MN ,USA",w,https://curlit.com/PDF/PCCC2025_ResultsBook_Women_B-Division.pdf,https://curlit.com/PDF/PCCC2025_ResultsSummary_Women_B-Division.pdf
Pre-Olympic Qualification Event 2025,2025,"Aberdeen, Scotland",m,https://curlit.com/PDF/PRE-OQE2025_ResultsBook_Men.pdf,https://curlit.com/PDF/PRE-OQE2025_ResultsSummary_Men.pdf
Pre-Olympic Qualification Event 2025,2025,"Aberdeen, Scotland",w,https://curlit.com/PDF/PRE-OQE2025_ResultsBook_Women.pdf,https://curlit.com/PDF/PRE-OQE2025_ResultsSummary_Women.pdf
World Junior Mixed Doubles Curling Championship 2025,2025,"Edmonton, AB, Canada",mxd,https://curlit.com/PDF/WJMDCC2025_ResultsBook.pdf,https://curlit.com/PDF/WJMDCC2025_ResultsSummary.pdf
World Senior Curling Championships 2025,2025,"Fredericton, NB, Canada",m,https://curlit.com/PDF/WSCC2025_ResultsBook_Men.pdf,https://curlit.com/PDF/WSCC2025_ResultsSummary_Men.pdf
World Senior Curling Championships 2025,2025,"Fredericton, NB, Canada",w,https://curlit.com/PDF/WSCC2025_ResultsBook_Women.pdf,https://curlit.com/PDF/WSCC2025_ResultsSummary_Women.pdf
World Mixed Doubles Curling Championship 2025,2025,"Fredericton, NB, Canada",mxd,https://curlit.com/PDF/WMDCC2025_ResultsBook.pdf,https://curlit.com/PDF/WMDCC2025_ResultsSummary.pdf
European Curling Championships 2025 C-Division,2025,"Östersund, Sweden",m,https://curlit.com/PDF/ECCC2025_ResultsBook_Men.pdf,https://curlit.com/PDF/ECCC2025_ResultsSummary_Men.pdf
European Curling Championships 2025 C-Division,2025,"Östersund, Sweden",w,https://curlit.com/PDF/ECCC2025_ResultsBook_Women.pdf,https://curlit.com/PDF/ECCC2025_ResultsSummary_Women.pdf
World Junior Curling Championships 2025,2025,"Cortina d'Ampezzo, Italy",m,https://curlit.com/PDF/WJCC2025_ResultsBook_Men.pdf,https://curlit.com/PDF/WJCC2025_ResultsSummary_Men.pdf
World Junior Curling Championships 2025,2025,"Cortina d'Ampezzo, Italy",w,https://curlit.com/PDF/WJCC2025_ResultsBook_Women.pdf,https://curlit.com/PDF/WJCC2025_ResultsSummary_Women.pdf
World Men's Curling Championship 2025,2025,"Moose Jaw, SK, Canada",m,https://curlit.com/PDF/WMCC2025_ResultsBook.pdf,https://curlit.com/PDF/WMCC2025_ResultsSummary.pdf
World Women's Curling Championship 2025,2025,"Uijeongbu, Korea",w,https://curlit.com/PDF/WWCC2025_ResultsBook.pdf,https://curlit.com/PDF/WWCC2025_ResultsSummary.pdf
World Wheelchair Mixed Doubles Championship 2025,2025,"Stevenston, Scotland",mxd,https://curlit.com/PDF/WWhMDCC2025_ResultsBook.pdf,https://curlit.com/PDF/WWhMDCC2025_ResultsSummary.pdf
World Wheelchair Championship 2025,2025,"Stevenston, Scotland",,https://curlit.com/PDF/WWhCC2025_ResultsBook.pdf,https://curlit.com/PDF/WWhCC2025_ResultsSummary.pdf
Asian Winter Games 2025,2025,"Harbin, China",,https://curlit.com/PDF/AWG2025_CUR_ResultsBook.pdf,
FISU World University Games 2025,2025,"Turin, Italy",,https://curlit.com/PDF/WUG2025_CUR_ResultsBook.pdf,
World Junior-B Curling Championships 2024,2024,"Lohja, Finland",m,https://curlit.com/PDF/WJBCC2024_ResultsBook_Men.pdf,https://curlit.com/PDF/WJBCC2024_ResultsSummary_Men.pdf
World Junior-B Curling Championships 2024,2024,"Lohja, Finland",w,https://curlit.com/PDF/WJBCC2024_ResultsBook_Women.pdf,https://curlit.com/PDF/WJBCC2024_ResultsSummary_Women.pdf
World Mixed Doubles Qualification Event 2024,2024,"Dumfries, Scotland",mxd,https://curlit.com/PDF/WMDQE2024_ResultsBook.pdf,https://curlit.com/PDF/WMDQE2024_ResultsSummary.pdf
European Curling Championships 2024 A-Division,2024,"Lohja, Finland",m,https://curlit.com/PDF/ECC2024_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/ECC2024_ResultsSummary_Men_A-Division.pdf
European Curling Championships 2024 A-Division,2024,"Lohja, Finland",w,https://curlit.com/PDF/ECC2024_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/ECC2024_ResultsSummary_Women_A-Division.pdf
European Curling Championships 2024 B-Division,2024,"Östersund, Sweden",m,https://curlit.com/PDF/ECC2024_ResultsBook_Men_B-Division.pdf,https://curlit.com/PDF/ECC2024_ResultsSummary_Men_B-Division.pdf
European Curling Championships 2024 B-Division,2024,"Östersund, Sweden",w,https://curlit.com/PDF/ECC2024_ResultsBook_Women_B-Division.pdf,https://curlit.com/PDF/ECC2024_ResultsSummary_Women_B-Division.pdf
