event_id,team_code,team_name,player1_name,player2_name,player3_name,player4_name,player5_name,player6_name,player7_name,player8_name,player9_name,player10_name
4,CHN,China,FEI X,LI Z,XU J,XU X,,,,,,
4,JPN,Japan,KOIZUMI S,USUI S,YAMAGUCHI T,YAMAMOTO T,YANAGISAWA R,,,,,
4,KOR,Korea,KIM C,KIM HK,KIM SH,YOO M,,,,,,
4,NED,Netherlands,GOESGENS W,HOEKMAN L,VAN DEN HURK T,VAN DORP J,,,,,,
4,NZL,New Zealand,HOOD A,PALANUIK J,SARGON B,SMITH B,WALKER H,,,,,
4,PHI,Philippines,CARPENTER B,FREI A,HALLER C,PFISTER E,PFISTER M,,,,,
4,POL,Poland,CIEMINSKI M,DOMIN K,GRZELKA M,LOBAZA B,STYCH K,,,,,
4,USA,United States,CASPER D,OLDENBURG A,RICHARDSON B,VIOLETTE L,,,,,,
5,AUS,Australia,ARMSTRONG M,TITHERIDGE K,TSOURLENES K,WESTMAN S,WILLIAMS H,,,,,
5,CZE,Czechia,FREDERIKSEN K,NEMCOKOVA L,PRAZAKOVA Z,SYNACKOVA H,,,,,,
5,EST,Estonia,GROSSMANN H,LAIDSALU K,TURMANN L,TUVIKE E,,,,,,
5,GER,Germany,ABBES E,ANTES Z,MESSENZEHL S,SUTOR J,SUTOR K,,,,,
5,JPN,Japan,KOBAYASHI M,KOTANI Y,OHMIYA A,ONODERA K,YOSHIMURA S,,,,,
5,NOR,Norway,FORBREGD I,HASLEV NORDBYE M,KJAERLAND E,ROERVIK M,SKASLIEN K,,,,,
5,TUR,Türkiye,CALIKUSU IS,KARAMAN I,POLAT O,SENGUL B,YILDIZ D,,,,,
5,USA,United States,ANDERSON-HEIDE T,GEVING A,PETERSON Tab,PETERSON Tar,THIESSE C,,,,,
6,AUS,Australia,,,,,,,,,,
6,AUT,Austria,,,,,,,,,,
6,CHN,China,,,,,,,,,,
6,CZE,Czechia,,,,,,,,,,
6,DEN,Denmark,,,,,,,,,,
6,ESP,Spain,,,,,,,,,,
6,FIN,Finland,,,,,,,,,,
6,FRA,France,,,,,,,,,,
6,GER,Germany,,,,,,,,,,
6,HUN,Hungary,,,,,,,,,,
6,JPN,Japan,,,,,,,,,,
6,KOR,Korea,,,,,,,,,,
6,LAT,Latvia,,,,,,,,,,
6,NED,Netherlands,,,,,,,,,,
6,NZL,New Zealand,,,,,,,,,,
6,TUR,Türkiye,,,,,,,,,,
7,AUT,Austria,BACKOFEN J,GENNER M,HOFER M,KARG J,REICHEL M,,,,,
7,CZE,Czechia,BOHAC R,CERNOVSKY M,JURIK M,KLIMA L,KLIPA L,,,,,
7,DEN,Denmark,JURLANDER BOEGE K,NOERGAARD M,QVIST A,SCHMIDT J,VILANDT J,,,,,
