event_id,match_id,end_number,shot_number,team_code,player_id,player_name,shot_type,turn,accuracy,house_orientation,team1_stones_in_play,team2_stones_in_play,team1_stone1_x,team1_stone1_y,team1_stone1_dist,team1_stone1_angle,team1_stone1_id,team1_stone1_prev_x,team1_stone1_prev_y,team1_stone2_x,team1_stone2_y,team1_stone2_dist,team1_stone2_angle,team1_stone2_id,team1_stone2_prev_x,team1_stone2_prev_y,team1_stone3_x,team1_stone3_y,team1_stone3_dist,team1_stone3_angle,team1_stone3_id,team1_stone3_prev_x,team1_stone3_prev_y,team1_stone4_x,team1_stone4_y,team1_stone4_dist,team1_stone4_angle,team1_stone4_id,team1_stone4_prev_x,team1_stone4_prev_y,team1_stone5_x,team1_stone5_y,team1_stone5_dist,team1_stone5_angle,team1_stone5_id,team1_stone5_prev_x,team1_stone5_prev_y,team1_stone6_x,team1_stone6_y,team1_stone6_dist,team1_stone6_angle,team1_stone6_id,team1_stone6_prev_x,team1_stone6_prev_y,team1_stone7_x,team1_stone7_y,team1_stone7_dist,team1_stone7_angle,team1_stone7_id,team1_stone7_prev_x,team1_stone7_prev_y,team1_stone8_x,team1_stone8_y,team1_stone8_dist,team1_stone8_angle,team1_stone8_id,team1_stone8_prev_x,team1_stone8_prev_y,team2_stone1_x,team2_stone1_y,team2_stone1_dist,team2_stone1_angle,team2_stone1_id,team2_stone1_prev_x,team2_stone1_prev_y,team2_stone2_x,team2_stone2_y,team2_stone2_dist,team2_stone2_angle,team2_stone2_id,team2_stone2_prev_x,team2_stone2_prev_y,team2_stone3_x,team2_stone3_y,team2_stone3_dist,team2_stone3_angle,team2_stone3_id,team2_stone3_prev_x,team2_stone3_prev_y,team2_stone4_x,team2_stone4_y,team2_stone4_dist,team2_stone4_angle,team2_stone4_id,team2_stone4_prev_x,team2_stone4_prev_y,team2_stone5_x,team2_stone5_y,team2_stone5_dist,team2_stone5_angle,team2_stone5_id,team2_stone5_prev_x,team2_stone5_prev_y,team2_stone6_x,team2_stone6_y,team2_stone6_dist,team2_stone6_angle,team2_stone6_id,team2_stone6_prev_x,team2_stone6_prev_y,team2_stone7_x,team2_stone7_y,team2_stone7_dist,team2_stone7_angle,team2_stone7_id,team2_stone7_prev_x,team2_stone7_prev_y,team2_stone8_x,team2_stone8_y,team2_stone8_dist,team2_stone8_angle,team2_stone8_id,team2_stone8_prev_x,team2_stone8_prev_y
1,1,1,1,SUI,1,WITSCHONKE S,Front,Counter-clockwise,100,bottom,1,0,0.027,1.438,1.438,88.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,2,SWE,2,SCHARBACK S,Draw,Clockwise,100,bottom,1,1,0.027,1.438,1.438,88.9,1,0.027,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069,0.082,0.107,50.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,3,SUI,1,WITSCHONKE S,Draw,Counter-clockwise,100,bottom,2,1,0.089,0.241,0.257,69.6,3,,,0.027,1.438,1.438,88.9,1,0.027,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,-0.009,0.059,-9.2,2,0.069,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,4,SWE,2,SCHARBACK S,Draw,Clockwise,100,bottom,2,2,0.122,0.215,0.247,60.5,3,0.089,0.241,0.027,1.438,1.438,88.9,1,0.027,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,-0.01,0.063,-8.9,2,0.058,-0.009,-0.009,0.388,0.388,91.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,5,SUI,3,HOWALD C,Draw,Counter-clockwise,50,bottom,3,2,0.122,0.213,0.245,60.2,3,0.122,0.215,0.221,1.156,1.177,79.2,5,,,0.01,1.438,1.438,89.6,1,0.027,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,-0.009,0.059,-9.2,2,0.062,-0.01,-0.016,0.388,0.389,92.3,4,-0.009,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,6,SWE,4,KNOCHENHAUER A,Draw,Clockwise,0,bottom,3,3,0.125,0.213,0.247,59.6,3,0.122,0.213,0.227,1.156,1.178,78.9,5,0.221,1.156,0.013,1.433,1.433,89.5,1,0.01,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,-0.01,0.063,-8.9,2,0.058,-0.009,0.138,1.572,1.578,85.0,6,,,-0.009,0.388,0.388,91.3,4,-0.016,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,7,SUI,3,HOWALD C,Draw,Clockwise,100,bottom,4,3,0.122,0.21,0.243,59.9,3,0.125,0.213,0.221,1.153,1.174,79.2,5,0.227,1.156,0.007,1.428,1.428,89.7,1,0.013,1.433,-0.027,0.562,0.563,92.7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,-0.016,0.06,-15.1,2,0.062,-0.01,0.137,1.571,1.577,85.0,6,0.138,1.572,-0.01,0.339,0.34,91.7,4,-0.009,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,8,SWE,4,KNOCHENHAUER A,Clearing,Counter-clockwise,50,bottom,3,4,0.125,0.219,0.252,60.3,3,0.122,0.21,0.227,1.162,1.184,78.9,5,0.221,1.153,-0.018,0.571,0.572,91.8,7,-0.027,0.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,-0.007,0.063,-6.1,2,0.058,-0.016,0.741,0.714,1.029,43.9,8,,,0.43,1.643,1.699,75.3,9,,,-0.004,0.348,0.348,90.7,4,-0.01,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,9,SUI,5,TIRINZONI S,Double Take-out,Counter-clockwise,50,bottom,4,3,0.122,0.219,0.25,61.0,3,0.125,0.219,0.17,0.478,0.507,70.5,10,,,0.221,1.162,1.183,79.2,5,0.227,1.162,-0.424,0.455,0.622,133.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,-0.007,0.058,-6.6,2,0.062,-0.007,0.429,1.643,1.698,75.4,9,0.43,1.643,-0.01,0.348,0.349,91.6,4,-0.004,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,10,SWE,6,McMANUS S,Draw,Clockwise,100,bottom,4,4,0.149,0.15,0.211,45.2,3,0.122,0.219,0.17,0.469,0.499,70.1,10,0.17,0.478,0.227,1.153,1.175,78.8,5,0.221,1.162,-0.415,0.446,0.61,132.9,11,-0.424,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,-0.016,0.064,-14.1,2,0.058,-0.007,0.43,1.634,1.69,75.2,9,0.429,1.643,-0.004,0.339,0.339,90.8,4,-0.01,0.348,-0.022,0.51,0.51,92.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
