event_id,team_code,team_name,player1_name,player2_name,player3_name,player4_name,player5_name
1,AUT,Austria,BACKOFEN J,GENNER M,HOFER M,KARG J,REICHEL M
1,CZE,Czechia,BOHAC R,CERNOVSKY M,JURIK M,KLIMA L,KLIPA L
1,DEN,Denmark,JURLANDER BOEGE K,NOERGAARD M,QVIST A,SCHMIDT J,VILANDT J
1,GER,Germany,KAPP B,MESSENZEHL F,MUSKATEWITZ M,SCHEUERL J,
1,ITA,Italy,ARMAN S,GIOVANELLA M,MOSANER A,PIMPINI A,RETORNAZ J
1,NOR,Norway,NAESS W,NEPSTAD G,RAMSFJELL B,RAMSFJELL M,SESAKER M
1,POL,Poland,CIEMINSKI M,DOMIN K,GRZELKA M,LOBAZA B,STYCH K
1,SCO,Scotland,HARDIE G,LAMMIE B,MOUAT B,McMILLAN H,WADDELL K
1,SUI,Switzerland,LACHAT-COUCHEPIN P,MICHEL S,SCHWALLER K,SCHWALLER Y,SCHWARZ-VAN BERKEL
1,SWE,Sweden,EDIN N,ERIKSSON O,SUNDGREN C,WRANAA R,
